,edit_count,sentiment_mean,neg_sentiment_ratio
2023-05-15,0.1,-0.03348401685555777,0.05000000000000002
2023-05-16,0.1,-0.03348401685555777,0.05000000000000002
2023-05-17,0.1,-0.03348401685555777,0.05000000000000002
2023-05-18,0.1,-0.03348401685555777,0.05000000000000002
2023-05-19,0.1,-0.03348401685555777,0.05000000000000002
2023-05-20,0.1,-0.03348401685555777,0.05000000000000002
2023-05-21,0.1,-0.03348401685555777,0.05000000000000002
2023-05-22,0.06666666666666667,-0.00018558005491893238,0.016666666666666684
2023-05-23,0.06666666666666667,-0.00018558005491893238,0.016666666666666684
2023-05-24,0.13333333333333333,-0.03350033958752951,0.05000000000000002
2023-05-25,0.13333333333333333,-0.03350033958752951,0.05000000000000002
2023-05-26,0.13333333333333333,-0.03350033958752951,0.05000000000000002
2023-05-27,0.13333333333333333,-0.03350033958752951,0.05000000000000002
2023-05-28,0.13333333333333333,-0.03350033958752951,0.05000000000000002
2023-05-29,0.13333333333333333,-0.03350033958752951,0.05000000000000002
2023-05-30,0.16666666666666666,-0.06659915645917257,0.08333333333333334
2023-05-31,0.16666666666666666,-0.06659915645917257,0.08333333333333334
2023-06-01,0.2,-0.033449858427047736,0.08333333333333334
2023-06-02,0.2,-0.033449858427047736,0.08333333333333334
2023-06-03,0.2,-0.033449858427047736,0.08333333333333334
2023-06-04,0.2,-0.033449858427047736,0.08333333333333334
2023-06-05,0.2,-0.033449858427047736,0.08333333333333334
2023-06-06,0.2,-0.033449858427047736,0.08333333333333334
2023-06-07,0.2,-0.033449858427047736,0.08333333333333334
2023-06-08,0.2,-0.033449858427047736,0.08333333333333334
2023-06-09,0.2,-0.033449858427047736,0.08333333333333334
2023-06-10,0.13333333333333333,-0.033264278372128815,0.06666666666666668
2023-06-11,0.16666666666666666,-0.0002987891435623243,0.06666666666666668
2023-06-12,0.16666666666666666,-0.0002987891435623243,0.06666666666666668
2023-06-13,0.16666666666666666,-0.0002987891435623243,0.06666666666666668
2023-06-14,0.26666666666666666,-0.011382060911920342,0.08888888888888889
2023-06-15,0.3,-0.04467988775836097,0.12222222222222223
2023-06-16,0.3333333333333333,-0.07799086140261756,0.15555555555555556
2023-06-17,0.3333333333333333,-0.07799086140261756,0.15555555555555556
2023-06-18,0.3333333333333333,-0.07799086140261756,0.15555555555555556
2023-06-19,0.3333333333333333,-0.07799086140261756,0.15555555555555556
2023-06-20,0.3333333333333333,-0.07799086140261756,0.15555555555555556
2023-06-21,0.3333333333333333,-0.07799086140261756,0.15555555555555556
2023-06-22,0.3333333333333333,-0.07799086140261756,0.15555555555555556
